order_id,customer_name,email,product,quantity,price,order_date,shipping_address,status
1000,Darrell Harrison,stephanieenglish@example.net,Monitor Stand,1,89.99,05/22/2026 01:30 AM,"4020 Crystal Highway, Port Tiffany, PW 89674",processing
1000,Darrell Harrison,stephanieenglish@example.net,Monitor Stand,1,89.99,05/22/2026 01:30 AM,"4020 Crystal Highway, Port Tiffany, PW 89674",processing
1001,Sarah Moran,amandajohnson@example.net,Wireless Earbuds,3,194.97,2026-05-29T02:48:37,"702 Isaac Mountain Suite 203, New Victorialand, KY 02264",shipped
1002,None,sjordan@example.net,Laptop Stand,1,,null,"344 Gray Bridge, New Stevenland, NH 95113",cancelled
1003,Lauren Wilkerson,ortizrandy@example.net,USB Keyboard,1,45.5,"May 21 2026, 17:55:47","USNV Sullivan, FPO AE 99447",cancelled
1004,Tina Mccoy,heathercantrell@example.com,USB Keyboard,3,136.5,05/22/2026 07:58 AM,"47619 Gallegos Path Apt. 422, Jamesborough, TX 66982",pending
1004,Tina Mccoy,heathercantrell@example.com,USB Keyboard,3,136.5,05/22/2026 07:58 AM,"47619 Gallegos Path Apt. 422, Jamesborough, TX 66982",pending
1005,Charles Lewis,stephenstevens@example.org,Desk Lamp,4,89.2,14-05-2026 11:06,"0331 Werner Lodge, East Mariaville, NY 04163",pending
1005,Charles Lewis,stephenstevens@example.org,Desk Lamp,4,89.2,14-05-2026 11:06,"0331 Werner Lodge, East Mariaville, NY 04163",pending
1006,Timothy Evans,N/A,USB Hub,,77.96,"May 29 2026, 05:22:49",None,pending
1007,Andrew Wright,kelsey81@example.net,Phone Charger,3,47.97,"May 14 2026, 09:22:14","23260 Butler Crossing, Lisachester, MN 80046",pending
1008,Cindy Mckinney,smithmark@example.net,null,5,49.95,2026-05-31T12:21:07,"83646 Ferguson Trafficway, Stephenberg, DE 90738",returned
1009,Gabriel Keller,dillonrebecca@example.org,USB Keyboard,3,136.5,20-05-2026 02:12,"66533 Reyes Loop Apt. 253, Karentown, KY 31519",processing
1010,Lauren Schultz,ronald92@example.com,Bluetooth Speaker,3,126.0,2026-05-24T20:45:23,"6577 Perez Views, South Natasha, VI 71655",processing
1011,Virginia Gomez,kellyhaley@example.net,Laptop Stand,2,110.0,1778172045,"524 Graham Course, West Wandaport, DC 94290",delivered
1012,David Day,branditownsend@example.net,Gaming Headset,2,159.98,05/18/2026 10:45 PM,"3161 Castro Rapids Apt. 709, Lake Bradleychester, GU 11875",delivered
1013,Renee Long,calebgraves@example.net,USB Keyboard,3,,None,"11147 Ford Estates, New Daniel, MI 50625",shipped
1014,Holly Contreras,mreynolds@example.org,Monitor Stand,5,449.95,05/05/2026 02:54 AM,"13605 John Lock, Aliland, CA 81148",cancelled
1015,Daniel Wall,xluna@example.net,USB Hub,,58.47,2026-05-16T06:06:32,"140 Collins Orchard Apt. 024, Morenomouth, NJ 79084",cancelled
1016,Austin Mcfarland,N/A,N/A,3,,1780084732,"256 Gregory Groves, Howardburgh, MD 75635",cancelled
NULL,0x00,@#$,0x00,-139,@#$,ERR,-929,???,NULL,ERR,corrupted
1018,Wesley Duffy,paulsharp@example.com,Mouse Pad,4,50.0,13-05-2026 19:43,"8112 Stephanie Square Suite 494, South Paul, NH 12125",pending
1018,Wesley Duffy,paulsharp@example.com,Mouse Pad,4,50.0,13-05-2026 19:43,"8112 Stephanie Square Suite 494, South Paul, NH 12125",pending
1019,Micheal Ramirez,sjohnson@example.net,Webcam HD,5,295.0,1780120164,"6333 Alexis Wells Suite 696, Manningland, PA 84087",delivered
1020,,,Monitor Stand,5,449.95,2026-05-08T01:42:13,"4879 Hunter Turnpike, Johnview, VA 38430",returned
1021,Darin Barrera,brownmark@example.net,Webcam HD,1,59.0,2028-10-12,"0042 Cody Shore Apt. 255, Robertmouth, IN 58744",cancelled
1022,Janice Kim,gordonscott@example.net,Gaming Headset,3,239.97,05/31/2026 04:05 PM,"123 Brittany Drives, Reynoldsshire, PA 89671",delivered
1022,Janice Kim,gordonscott@example.net,Gaming Headset,3,239.97,05/31/2026 04:05 PM,"123 Brittany Drives, Reynoldsshire, PA 89671",delivered
1023,Arthur Brown,justinmcguire@example.net,Desk Lamp,5,111.5,1779204969,"61095 Alexander Rest, Robinsonhaven, ME 12765",pending
???,@#$
1025,Shelly Thomas,ohampton@example.com,Mouse Pad,5,62.5,1779981225,"3716 Madison Path, Port Laurenchester, VT 55813",cancelled
52,,corrupted,???,@#$,???
1027,Debra Dodson,mhahn@example.com,Wireless Earbuds,3,194.97,18-05-2026 07:39,"941 York Row Apt. 736, Garciaton, NM 67701",delivered
1028,Jose Carter,emilyshannon@example.org,Monitor Stand,3,269.97,1779110923,"91345 Joseph Radial, East Timothyborough, OH 71256",shipped
1029,Mary Perez,kim66@example.org,Gaming Headset,3,239.97,08-05-2026 13:05,"32240 Martinez Islands, Port Danamouth, CT 10826",shipped
1030,Mr. Bryan Roberson,davisgrace@example.com,Phone Charger,None,31.98,1778357922,"51079 Megan Plain, Lake Christopher, ID 47112",cancelled
1031,Jessica Andrews,,Laptop Stand,4,220.0,"May 18 2026, 08:13:41","Unit 8097 Box 0097, DPO AE 15617",None
1032,Steven Bryan,qjohnson@example.org,Webcam HD,3,177.0,02-06-2026 05:52,"70752 Matthew Ford Suite 602, South Benjamin, UT 18100",returned
1033,Melanie Mack,denisewoodward@example.com,Phone Charger,2,31.98,2026-05-21T03:16:14,"10131 Gutierrez Ville, West Susan, NE 42641",cancelled
-693,@#$,NULL,@#$
1035,Terri Campbell,elizabethjohnson@example.net,Laptop Bag,,null,1777854569,"6897 Valerie Center, Ortizview, IN 21033",delivered
1036,David Wilcox,None,Webcam HD,2,118.0,  ,"286 Gina Fords, Port Johnside, PR 45013",pending
1037,Devin Richmond,jamie07@example.org,Laptop Stand,5,275.0,05/20/2026 03:06 AM,"USS Gomez, FPO AE 04793",returned
1038,Ryan Hale,richardsmith@example.org,Gaming Headset,5,399.95,1778756159,"550 Ricky Gateway, Port Ritaland, IN 09105",pending
1039,Gina Blake,aprilhart@example.com,USB Keyboard,1,45.5,"May 07 2026, 21:59:18","25549 Osborne Run Suite 476, Davidside, MA 51391",null
1040,Karen Mendez MD,reynoldsdennis@example.org,Screen Protector,4,39.96,"May 19 2026, 17:40:26","370 Michael Loop, Port Samantha, WI 04467",shipped
1041,John Martinez,angelaherrera@example.org,Bluetooth Speaker,2,84.0,08-05-2026 06:36,"2074 Long Lodge Suite 457, Ramosberg, WV 35133",pending
NULL,359,@#$,???
1043,Kelly Lucas,rodgersdebra@example.net,Mouse Pad,1,12.5,"May 20 2026, 02:38:55","44554 Bennett Knoll Apt. 604, South Clayton, WY 88449",returned
0x00,@#$,@#$,corrupted,NULL,corrupted,NULL,corrupted,corrupted,corrupted,0x00
1045,Jessica Baldwin,castilloerica@example.org,Wireless Mouse,5,129.95,1778505881,"3343 Wright Hollow, Port Alexis, IA 11214",shipped
1046,null,zimmermangregory@example.com,Gaming Headset,2,159.98,05/19/2026 08:09 PM,"13299 King Court, Jonesville, MO 35222",processing
1047,Sarah Moreno,hernandeztyler@example.com,Desk Lamp,24656,66.9,2026-05-14T16:37:13,"291 Jennifer Parks Apt. 388, Herreramouth, AR 17052",shipped
1048,Barbara Willis,paulavila@example.com,Screen Protector,3,29.97,2026-05-14T13:27:00,"3230 Brian Estates, Lake Stacy, GA 13053",pending
